source synth/list_parts.tcl
# puts [format "%-24s %-14s %-8s %s" PART PACKAGE SPEED DEVICE]
PART                     PACKAGE        SPEED    DEVICE
# foreach part [lsort [get_parts]] {
#     set pkg    [get_property PACKAGE     [get_parts $part]]
#     set speed  [get_property SPEED       [get_parts $part]]
#     set device [get_property DEVICE      [get_parts $part]]
#     puts [format "%-24s %-14s %-8s %s" $part $pkg $speed $device]
# }
xa7a100tcsg324-1I        csg324         -1I      xa7a100t
xa7a100tcsg324-1Q        csg324         -1Q      xa7a100t
xa7a100tcsg324-2I        csg324         -2I      xa7a100t
xa7a100tfgg484-1I        fgg484         -1I      xa7a100t
xa7a100tfgg484-1Q        fgg484         -1Q      xa7a100t
xa7a100tfgg484-2I        fgg484         -2I      xa7a100t
xa7a12tcpg238-1I         cpg238         -1I      xa7a12t
xa7a12tcpg238-1Q         cpg238         -1Q      xa7a12t
xa7a12tcpg238-2I         cpg238         -2I      xa7a12t
xa7a12tcsg325-1I         csg325         -1I      xa7a12t
xa7a12tcsg325-1Q         csg325         -1Q      xa7a12t
xa7a12tcsg325-2I         csg325         -2I      xa7a12t
xa7a15tcpg236-1I         cpg236         -1I      xa7a15t
xa7a15tcpg236-1Q         cpg236         -1Q      xa7a15t
xa7a15tcpg236-2I         cpg236         -2I      xa7a15t
xa7a15tcsg324-1I         csg324         -1I      xa7a15t
xa7a15tcsg324-1Q         csg324         -1Q      xa7a15t
xa7a15tcsg324-2I         csg324         -2I      xa7a15t
xa7a15tcsg325-1I         csg325         -1I      xa7a15t
xa7a15tcsg325-1Q         csg325         -1Q      xa7a15t
xa7a15tcsg325-2I         csg325         -2I      xa7a15t
xa7a25tcpg238-1I         cpg238         -1I      xa7a25t
xa7a25tcpg238-1Q         cpg238         -1Q      xa7a25t
xa7a25tcpg238-2I         cpg238         -2I      xa7a25t
xa7a25tcsg325-1I         csg325         -1I      xa7a25t
xa7a25tcsg325-1Q         csg325         -1Q      xa7a25t
xa7a25tcsg325-2I         csg325         -2I      xa7a25t
xa7a35tcpg236-1I         cpg236         -1I      xa7a35t
xa7a35tcpg236-1Q         cpg236         -1Q      xa7a35t
xa7a35tcpg236-2I         cpg236         -2I      xa7a35t
xa7a35tcsg324-1I         csg324         -1I      xa7a35t
xa7a35tcsg324-1Q         csg324         -1Q      xa7a35t
xa7a35tcsg324-2I         csg324         -2I      xa7a35t
xa7a35tcsg325-1I         csg325         -1I      xa7a35t
xa7a35tcsg325-1Q         csg325         -1Q      xa7a35t
xa7a35tcsg325-2I         csg325         -2I      xa7a35t
xa7a50tcpg236-1I         cpg236         -1I      xa7a50t
xa7a50tcpg236-1Q         cpg236         -1Q      xa7a50t
xa7a50tcpg236-2I         cpg236         -2I      xa7a50t
xa7a50tcsg324-1I         csg324         -1I      xa7a50t
xa7a50tcsg324-1Q         csg324         -1Q      xa7a50t
